species	realspecies
Canis lupus familiaris	y
Alien	n
Leiobunum rotundum	y
Amatitlania nigrofasciata	y
Turdus migratorius	y
Cebus albifrons	y
Anodorhynchus hyacinthinus	y
Anolis carolinensis	y
Anolis carolinensis	y
Anolis carolinensis	y
Formica ligniperda	y
Apalone ferox	y
Aratinga jandaya	y
Aratinga solstitialis	y
Archaeopteryx lithographica	y
Ariopsis seemanni	y
Dasypus novemcinctus	y
Reduvius personatus	y
Ambystoma mexicanum	y
Balantiocheilos melanopterus	y
Pogona barbata	y
Apis mellifera	y
Delphinapterus leucas	y
Canis lupus familiaris	y
Betta splendens	y
Betta splendens	y
Betta splendens	y
Hydrocoloeus minutus	y
Hydrocoloeus minutus	y
Gymnocorymbus ternetzi	y
Canis lupus familiaris	y
Boa constrictor	y
Canis lupus familiaris	y
Terrapene carolina	y
Terrapene carolina	y
Bradypus pygmaeus	y
Bradypus torquatus	y
Bradypus tridactylus	y
Bradypus variegatus	y
Oryctolagus cuniculus	y
Calyptorhynchus banksii	y
Calyptorhynchus funereus	y
Serinus canaria domestica	y
Canis lupus familiaris	y
Hydrochoerus hydrochaeris	y
Hydrochoerus hydrochaeris	y
Felis catus	y
Catbus	n
Lymantria dispar dispar	y
Corydoras semiaquilus	y
Felis catus	y
Chamaeleo calyptratus	y
Chamaeleocalyptratus	y
Gallus gallus domesticus	y
Chromobotia macracanthus	y
Pseudotropheus lombardoi	y
Nasua narica	y
Nymphicus hollandicus	y
Coendou prehensilis	y
Coenobita clypeatus	y
Eisenia fetida	y
Conuropsis carolinensis	y
Calanus glacialis	y
Diploria strigosa	y
Corydoras semiaquilus	y
Pacifastacus leniusculus	y
Corvus brachyrhynchos	y
Ctenodactylus gundi	y
Sepia apama	y
Cyphotilapia frontosa	y
Danaus plexippus	y
Daphnia magna	y
Gopherus agassizii	y
Diadophis punctatus	y
Dallas	n
Canis lupus familiaris	y
Canis lupus familiaris	y
Equus africanus asinus	y
Dragon	n
Pachydiplax longipennis	y
Anas platyrhynchos	y
Anas platyrhynchos	y
Eisenia fetida	y
Loxodonta africana	y
Epalzeorhynchos bicolor	y
Falco peregrinus	y
Mustela putorius furo	y
Bombina bombina	y
Bombina bombina	y
Carassius auratus	y
Carassius auratus	y
Oryctolagus cuniculus	y
Glaucomys sabrinus	y
Vulpes vulpes	y
Xenopus laevis	y
Cornu aspersum	y
Rhacodactylus ciliatus	y
Pachyuromys duprasi	y
Oniscus asellus	y
Palaemonetes varians	y
Gnathonemus petersii	y
Capra aegagrus hircus	y
Aquila chrysaetos	y
Carassius auratus	y
Dactylotum bicolor	y
Canis lupus	y
Cavia porcellus	y
Poecilia reticulata	y
Phodopus sungorus	y
Phodopus sungorus	y
Hatteria punctata	y
Atelerix albiventris	y
Atelerix albiventris	y
Cryptobranchus alleganiensis	y
Coenobita clypeatus	y
Gracula religiosa	y
Equus caballus	y
Homo sapiens	y
Hydra	y
Hymenochirus boettgeri	y
Hypostomus plecostomus	y
Hystrix africaeaustralis	y
Iguana iguana	y
Panthera onca	y
Canis lupus familiaris	y
Andrias japonicus	y
Orcinus orca	y
Ovis aries	y
Panthera pardus	y
Iguana iguana	y
Lama glama	y
Lama glama	y
Ambystoma macrodactylum	y
Lophochroa leadbeateri	y
Neoceratodus forsteri	y
Myophonus horsfieldii	y
Ratufa indica	y
Trichechus manatus	y
Callithrix jacchus	y
Suricata suricatta	y
Equus africanus asinus	y
Pimephales promelas	y
Poecilia sphenops	y
Moloch horridus	y
Herpestes edwardsii	y
Mus musculus	y
Paracheirodon innesi	y
Nestor notabilis	y
Neurergus crocatus	y
Canis lupus familiaris	y
Notophthalmus viridescens	y
Berghia coerulescens	y
Enteroctopus dofleini	y
Canis lupus familiaris	y
Enhydra lutris	y
Felis manul	y
Papilio polyxenes	y
Melopsittacus undulatus	y
Aptenodytes forsteri	y
Aptenodytes forsteri	y
Perca flavescens	y
Falco peregrinus	y
Phthirus pubis	y
Physignathus cocincinus	y
Sus barbatus	y
Columba livia	y
Pimelodus pictus	y
Pionites melanocephalus	y
Pionites xanthomerius	y
Ornithorhynchus anatinus	y
Dentrobates tinctorius	y
Ursus maritimus	y
Pomacea bridgesii	y
Didelphis virginiana	y
Sphodromantis viridis	y
Probosciger aterrimus	y
Pseudoplatystoma fasciatum	y
Canis lupus familiaris	y
Pyrrhura frontalis	y
Python regius	y
Apis mellifera	y
Oryctolagus cuniculus	y
Procyon lotor	y
Dicrurus paradiseus	y
Trachemys scripta 	y
Rocio octofasciata	y
Rock	n
Roomba	n
Charina bottae	y
Ambystoma macrodactylum	y
Sciurus carolinensis	y
Phycodurus eques	y
Phycodurus eques	y
Enhydra lutris	y
Berghia coerulescens	y
pisaster ochraceus	y
Mimosa pudica	y
Leptailurus serval	y
Bradypus pygmaeus	y
Cornu aspersum	y
Cornu aspersum	y
Boa constrictor	y
Gluvia dorsalis	y
Lactobacillus acidophilus	y
Pseudacris crucifer	y
Sciurus carolinensis	y
Saimiri sciureus	y
Canis lupus familiaris	y
Phobaeticus chani	y
Dasyatis pastinaca	y
Strigops habroptilus	y
Petaurus breviceps	y
Aratinga solstitialis	y
Xiphophorus hellerii	y
Brachypelma smithi	y
Hypsibius dujardini	y
Tenodera sinensis	y
Paracheirodon innesi	y
Ixodes scapularis	y
Panthera tigris	y
Homo sapiens	y
Bombina bombina	y
Gopherus agassizii	y
Dendrolagus ursinus	y
Prosthemadera novaeseelandiae	y
Tupinambis merianae	y
Tupinambis rufescens	y
Trachemys scripta 	y
Trachemys scripta 	y
Trachemys scripta 	y
Velociraptor mongoliensis	y
Didelphis virginiana	y
Varanus salvator	y
Balaenoptera musculus	y
Garrulax albogularis	y
Xenopus laevis	y
Xenopus laevis	y
Taeniopygia guttata	y
Zombie	n
